[2023.08.31 09:30:05 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445401260 <= 1693445401512, execute later
[2023.08.31 12:21:00 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693451986370 <= 1693452601186, execute later
[2023.08.31 12:21:02 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693451990680 <= 1693452601186, execute later
[2023.08.31 12:21:03 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693451998480 <= 1693452601186, execute later
[2023.08.31 12:21:08 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452009650 <= 1693452601186, execute later
[2023.08.31 12:21:11 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452021810 <= 1693452601186, execute later
[2023.08.31 12:21:12 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452024900 <= 1693452601186, execute later
[2023.08.31 12:21:13 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452027440 <= 1693452601186, execute later
[2023.08.31 12:21:17 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452038420 <= 1693452601186, execute later
[2023.08.31 12:21:22 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452050140 <= 1693452601186, execute later
[2023.08.31 12:21:25 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452061440 <= 1693452601186, execute later
[2023.08.31 12:21:27 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452064310 <= 1693452601186, execute later
[2023.08.31 12:21:33 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452075670 <= 1693452601186, execute later
[2023.08.31 12:21:45 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452102480 <= 1693452601186, execute later
[2023.08.31 12:21:49 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452111630 <= 1693452601186, execute later
[2023.08.31 12:21:57 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452130160 <= 1693452601186, execute later
[2023.08.31 12:21:59 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452136210 <= 1693452601186, execute later
[2023.08.31 12:22:04 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452145370 <= 1693452601186, execute later
[2023.08.31 12:22:07 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452152360 <= 1693452601186, execute later
[2023.08.31 12:22:08 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452156370 <= 1693452601186, execute later
[2023.08.31 12:22:15 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452174910 <= 1693452601186, execute later
[2023.08.31 12:22:16 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452177910 <= 1693452601186, execute later
[2023.08.31 12:22:18 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452181520 <= 1693452601186, execute later
[2023.08.31 12:22:20 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452184140 <= 1693452601186, execute later
[2023.08.31 12:22:23 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452190470 <= 1693452601186, execute later
[2023.08.31 12:22:25 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452192530 <= 1693452601186, execute later
[2023.08.31 12:22:31 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452210410 <= 1693452601186, execute later
[2023.08.31 12:22:36 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452222490 <= 1693452601186, execute later
[2023.08.31 12:22:37 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452224200 <= 1693452601186, execute later
[2023.08.31 12:22:45 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452250100 <= 1693452601186, execute later
[2023.08.31 12:22:47 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452255060 <= 1693452601186, execute later
[2023.08.31 12:22:49 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452261770 <= 1693452601186, execute later
[2023.08.31 12:23:02 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452288670 <= 1693452601186, execute later
[2023.08.31 12:23:07 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452298320 <= 1693452601186, execute later
[2023.08.31 12:23:17 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452315640 <= 1693452601186, execute later
[2023.08.31 12:23:19 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452319480 <= 1693452601186, execute later
[2023.08.31 12:23:22 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452323280 <= 1693452601186, execute later
[2023.08.31 12:23:28 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452335620 <= 1693452601186, execute later
[2023.08.31 12:23:30 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452340690 <= 1693452601186, execute later
[2023.08.31 12:23:39 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452364450 <= 1693452601186, execute later
[2023.08.31 12:23:46 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452382310 <= 1693452601186, execute later
[2023.08.31 12:23:48 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452384820 <= 1693452601186, execute later
[2023.08.31 12:23:49 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452386920 <= 1693452601186, execute later
[2023.08.31 12:23:51 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452390180 <= 1693452601186, execute later
[2023.08.31 12:23:59 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452407640 <= 1693452601186, execute later
[2023.08.31 12:24:02 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452415460 <= 1693452601186, execute later
[2023.08.31 12:24:07 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452424680 <= 1693452601186, execute later
[2023.08.31 12:24:10 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452432320 <= 1693452601186, execute later
[2023.08.31 12:24:14 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452444190 <= 1693452601186, execute later
[2023.08.31 12:24:15 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452448310 <= 1693452601186, execute later
[2023.08.31 12:24:18 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452451060 <= 1693452601186, execute later
[2023.08.31 12:24:20 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452459940 <= 1693452601186, execute later
[2023.08.31 12:24:25 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452474070 <= 1693452601186, execute later
[2023.08.31 12:24:26 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452478230 <= 1693452601186, execute later
[2023.08.31 12:24:27 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452480460 <= 1693452601186, execute later
[2023.08.31 12:24:28 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452480660 <= 1693452601186, execute later
[2023.08.31 12:24:36 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452506540 <= 1693452601186, execute later
[2023.08.31 12:24:40 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452519310 <= 1693452601186, execute later
[2023.08.31 12:24:42 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452526830 <= 1693452601186, execute later
[2023.08.31 12:24:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452531280 <= 1693452601186, execute later
[2023.08.31 12:24:44 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452534270 <= 1693452601186, execute later
[2023.08.31 12:24:48 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452547300 <= 1693452601186, execute later
[2023.08.31 12:24:51 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452551180 <= 1693452601186, execute later
[2023.08.31 12:24:52 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693452555250 <= 1693452601186, execute later
[2023.08.31 13:00:06 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458004990 <= 1693458006951, execute later
[2023.08.31 13:00:15 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458010572 <= 1693458012951, execute later
[2023.08.31 13:00:33 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458018670 <= 1693458030990, execute later
[2023.08.31 13:00:44 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458025430 <= 1693458042972, execute later
[2023.08.31 13:00:49 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458032269 <= 1693458048973, execute later
[2023.08.31 13:00:53 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458031080 <= 1693458051968, execute later
[2023.08.31 13:00:54 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458038238 <= 1693458051968, execute later
[2023.08.31 13:01:14 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458065238 <= 1693458072964, execute later
[2023.08.31 13:01:20 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458052290 <= 1693458078962, execute later
[2023.08.31 13:01:24 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458054520 <= 1693458081987, execute later
[2023.08.31 13:01:29 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458080238 <= 1693458088018, execute later
[2023.08.31 13:01:45 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458098293 <= 1693458102943, execute later
[2023.08.31 13:01:56 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458079120 <= 1693458114946, execute later
[2023.08.31 13:02:06 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458082910 <= 1693458123966, execute later
[2023.08.31 13:02:13 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458128241 <= 1693458132964, execute later
[2023.08.31 13:02:16 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458090580 <= 1693458135972, execute later
[2023.08.31 13:02:16 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458131288 <= 1693458135972, execute later
[2023.08.31 13:02:22 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458137261 <= 1693458142004, execute later
[2023.08.31 13:02:26 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458140245 <= 1693458144953, execute later
[2023.08.31 13:02:29 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458097940 <= 1693458147989, execute later
[2023.08.31 13:02:32 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458101180 <= 1693458151036, execute later
[2023.08.31 13:02:37 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458152316 <= 1693458156974, execute later
[2023.08.31 13:02:39 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458155233 <= 1693458156974, execute later
[2023.08.31 13:02:41 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458158250 <= 1693458159991, execute later
[2023.08.31 13:02:48 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458164241 <= 1693458165960, execute later
[2023.08.31 13:02:51 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458115810 <= 1693458168950, execute later
[2023.08.31 13:02:55 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458121370 <= 1693458175028, execute later
[2023.08.31 13:03:01 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458123830 <= 1693458180999, execute later
[2023.08.31 13:03:20 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458197277 <= 1693458198985, execute later
[2023.08.31 13:03:21 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458133550 <= 1693458198985, execute later
[2023.08.31 13:03:31 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458141880 <= 1693458210967, execute later
[2023.08.31 13:03:35 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458144000 <= 1693458213967, execute later
[2023.08.31 13:03:48 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458153730 <= 1693458226099, execute later
[2023.08.31 13:03:53 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458230226 <= 1693458231954, execute later
[2023.08.31 13:04:01 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458163330 <= 1693458240953, execute later
[2023.08.31 13:04:07 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458166030 <= 1693458246950, execute later
[2023.08.31 13:04:13 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458245520 <= 1693458252972, execute later
[2023.08.31 13:04:18 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458175440 <= 1693458255993, execute later
[2023.08.31 13:04:20 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458251271 <= 1693458258941, execute later
[2023.08.31 13:04:23 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458254253 <= 1693458261941, execute later
[2023.08.31 13:04:28 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458257276 <= 1693458268068, execute later
[2023.08.31 13:04:28 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458181310 <= 1693458268068, execute later
[2023.08.31 13:04:31 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458260231 <= 1693458270939, execute later
[2023.08.31 13:04:38 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458185550 <= 1693458276975, execute later
[2023.08.31 13:04:39 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458266293 <= 1693458276975, execute later
[2023.08.31 13:04:42 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458269348 <= 1693458280070, execute later
[2023.08.31 13:04:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458190400 <= 1693458282947, execute later
[2023.08.31 13:04:48 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458275224 <= 1693458285988, execute later
[2023.08.31 13:04:49 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458190600 <= 1693458288941, execute later
[2023.08.31 13:04:55 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458281360 <= 1693458294975, execute later
[2023.08.31 13:04:58 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458284228 <= 1693458297992, execute later
[2023.08.31 13:05:14 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458299273 <= 1693458312971, execute later
[2023.08.31 13:05:16 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458302260 <= 1693458315960, execute later
[2023.08.31 13:05:19 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458305223 <= 1693458318944, execute later
[2023.08.31 13:05:27 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458314258 <= 1693458324974, execute later
[2023.08.31 13:05:31 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458317238 <= 1693458330986, execute later
[2023.08.31 13:05:38 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458323227 <= 1693458336944, execute later
[2023.08.31 13:05:42 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458326253 <= 1693458339986, execute later
[2023.08.31 13:05:42 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458226310 <= 1693458339986, execute later
[2023.08.31 13:05:46 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458227530 <= 1693458345933, execute later
[2023.08.31 13:05:46 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458332337 <= 1693458345933, execute later
[2023.08.31 13:05:55 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458232490 <= 1693458354973, execute later
[2023.08.31 13:05:56 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458341271 <= 1693458354973, execute later
[2023.08.31 13:06:16 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458362267 <= 1693458375939, execute later
[2023.08.31 13:06:19 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458245700 <= 1693458378935, execute later
[2023.08.31 13:06:22 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458368288 <= 1693458381950, execute later
[2023.08.31 13:06:33 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458255920 <= 1693458390954, execute later
[2023.08.31 13:06:35 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458383232 <= 1693458394005, execute later
[2023.08.31 13:06:40 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458389221 <= 1693458399998, execute later
[2023.08.31 13:06:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458392240 <= 1693458403009, execute later
[2023.08.31 13:06:48 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458264500 <= 1693458405972, execute later
[2023.08.31 13:06:52 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458404283 <= 1693458411958, execute later
[2023.08.31 13:06:56 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458270730 <= 1693458414957, execute later
[2023.08.31 13:06:56 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458413240 <= 1693458414957, execute later
[2023.08.31 13:07:07 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458425344 <= 1693458426946, execute later
[2023.08.31 13:07:15 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458281190 <= 1693458432944, execute later
[2023.08.31 13:07:31 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458294790 <= 1693458451030, execute later
[2023.08.31 13:07:35 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458452309 <= 1693458453952, execute later
[2023.08.31 13:07:38 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458455231 <= 1693458456958, execute later
[2023.08.31 13:07:46 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458307420 <= 1693458465928, execute later
[2023.08.31 13:08:02 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458315570 <= 1693458480934, execute later
[2023.08.31 13:08:07 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458485284 <= 1693458486941, execute later
[2023.08.31 13:08:08 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458316730 <= 1693458486941, execute later
[2023.08.31 13:08:21 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458325580 <= 1693458499006, execute later
[2023.08.31 13:08:22 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458331460 <= 1693458501976, execute later
[2023.08.31 13:08:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458355470 <= 1693458522972, execute later
[2023.08.31 13:08:48 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458364300 <= 1693458525982, execute later
[2023.08.31 13:09:09 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458376380 <= 1693458547101, execute later
[2023.08.31 13:09:14 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458379520 <= 1693458552925, execute later
[2023.08.31 13:09:25 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458388580 <= 1693458564987, execute later
[2023.08.31 13:09:28 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458396990 <= 1693458569213, execute later
[2023.08.31 13:09:36 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458409020 <= 1693458573930, execute later
[2023.08.31 13:09:37 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458410350 <= 1693458577015, execute later
[2023.08.31 13:09:42 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458421430 <= 1693458579968, execute later
[2023.08.31 13:09:53 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458438930 <= 1693458591961, execute later
[2023.08.31 13:10:03 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458448460 <= 1693458600986, execute later
[2023.08.31 13:10:07 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458451300 <= 1693458607050, execute later
[2023.08.31 13:10:17 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458460440 <= 1693458615931, execute later
[2023.08.31 13:10:18 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458461600 <= 1693458615931, execute later
[2023.08.31 13:10:20 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458464520 <= 1693458618947, execute later
[2023.08.31 13:10:22 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458469440 <= 1693458623262, execute later
[2023.08.31 13:10:31 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458481000 <= 1693458631002, execute later
[2023.08.31 13:10:35 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458486770 <= 1693458635276, execute later
[2023.08.31 13:10:37 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458490330 <= 1693458638217, execute later
[2023.08.31 13:10:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458491690 <= 1693458642925, execute later
[2023.08.31 13:10:45 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458502020 <= 1693458642925, execute later
[2023.08.31 13:11:08 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458521370 <= 1693458668320, execute later
[2023.08.31 13:11:24 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458533410 <= 1693458681942, execute later
[2023.08.31 13:11:26 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458683229 <= 1693458684921, execute later
[2023.08.31 13:11:28 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458686203 <= 1693458687928, execute later
[2023.08.31 13:11:37 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458543550 <= 1693458698206, execute later
[2023.08.31 13:11:41 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458550300 <= 1693458699918, execute later
[2023.08.31 13:11:44 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458552900 <= 1693458702988, execute later
[2023.08.31 13:11:57 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458568160 <= 1693458714939, execute later
[2023.08.31 13:12:06 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458576900 <= 1693458723953, execute later
[2023.08.31 13:12:20 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458592460 <= 1693458738937, execute later
[2023.08.31 13:12:28 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458600870 <= 1693458747975, execute later
[2023.08.31 13:12:33 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458605480 <= 1693458750979, execute later
[2023.08.31 13:12:39 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458609020 <= 1693458756960, execute later
[2023.08.31 13:12:48 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458622000 <= 1693458767220, execute later
[2023.08.31 13:12:54 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458631180 <= 1693458774929, execute later
[2023.08.31 13:13:03 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458646490 <= 1693458780977, execute later
[2023.08.31 13:13:08 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458648190 <= 1693458786927, execute later
[2023.08.31 13:13:34 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458669530 <= 1693458813975, execute later
[2023.08.31 13:13:49 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458682450 <= 1693458828914, execute later
[2023.08.31 13:13:57 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458691370 <= 1693458834984, execute later
[2023.08.31 13:13:59 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458692630 <= 1693458837913, execute later
[2023.08.31 13:14:01 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458692830 <= 1693458841048, execute later
[2023.08.31 13:14:08 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458703390 <= 1693458846916, execute later
[2023.08.31 13:14:16 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458707720 <= 1693458855933, execute later
[2023.08.31 13:14:26 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458863206 <= 1693458864930, execute later
[2023.08.31 13:14:29 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458866207 <= 1693458867925, execute later
[2023.08.31 13:14:52 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458734990 <= 1693458893196, execute later
[2023.08.31 13:14:55 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458738240 <= 1693458894924, execute later
[2023.08.31 13:14:57 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458741510 <= 1693458894924, execute later
[2023.08.31 13:15:11 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458749850 <= 1693458909907, execute later
[2023.08.31 13:15:17 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458914192 <= 1693458915954, execute later
[2023.08.31 13:15:21 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458917233 <= 1693458918924, execute later
[2023.08.31 13:15:22 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458756970 <= 1693458921919, execute later
[2023.08.31 13:15:26 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458759580 <= 1693458924976, execute later
[2023.08.31 13:15:30 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458926341 <= 1693458930911, execute later
[2023.08.31 13:15:36 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458767390 <= 1693458933911, execute later
[2023.08.31 13:15:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458776700 <= 1693458944197, execute later
[2023.08.31 13:15:50 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458788920 <= 1693458948927, execute later
[2023.08.31 13:15:56 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458795140 <= 1693458956208, execute later
[2023.08.31 13:16:12 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458807340 <= 1693458969920, execute later
[2023.08.31 13:16:16 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458811210 <= 1693458975953, execute later
[2023.08.31 13:16:23 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693458814670 <= 1693458983204, execute later
